,,,Facility Occupancy Report by Time,,,,,,,,,,3/9/2018  11:41:42 AM,,
,,,,,,,,,,,,,,,
,,,,All Facilities Selected,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,from 1/1/2018 to 3/9/2018,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,from  7:00:00AM to  6:00:00PM,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Day Selected: ALL,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility,,Occupancy Type,,,,,Date,,Time,,,Day,,,Occupancy
,,,,,,,,,,,,,,,
Boyd House,,,,,,,,,,,,,,,
,,Transient,,,,,01/01/2018,,7:31:46 AM,,,Mon,,,6
,,Transient,,,,,01/01/2018,,8:36:05 AM,,,Mon,,,6
,,Transient,,,,,01/01/2018,,9:39:12 AM,,,Mon,,,6
,,Transient,,,,,01/01/2018,,10:54:03 AM,,,Mon,,,6
